GeneSymbol	GeneID	DiseaseName	DiseaseID	DirectEvidence	InferenceChemicalName	InferenceScore	OmimIDs	PubMedIDs
CASP8	841	Muscular Atrophy	MESH:D009133		resveratrol	47.82		20861279|21715682|24534773
CASP8	841	Muscular Atrophy	MESH:D009133		Rifampin	47.82		6789927
CASP8	841	Muscular Atrophy	MESH:D009133		Testosterone	47.82		18436443|21094144|21931329
CASP8	841	Muscular Atrophy	MESH:D009133		Vincristine	47.82		4290103|4294312|4314181|5813374
CASP8	841	Muscular Atrophy	MESH:D009133		Zidovudine	47.82		1892364|8438050
CASP8AP2	9994	Muscular Atrophy	MESH:D009133		Dexamethasone	15.01		12135589|12721153|1351811|14518677|14618091|16318624|16967495|17053101|17153611|18436443|18467435|19032942|1947450|19967395|20169591|21094144|24124592|2424746|24550007|4441321
CASP8AP2	9994	Muscular Atrophy	MESH:D009133		Dietary Fats	15.01		25614714
CASP8AP2	9994	Muscular Atrophy	MESH:D009133		Quercetin	15.01		25614714
CASP8AP2	9994	Muscular Atrophy	MESH:D009133		resveratrol	15.01		20861279|21715682|24534773
CASP9	842	Muscular Atrophy	MESH:D009133		Amiodarone	50.11		90132
CASP9	842	Muscular Atrophy	MESH:D009133		Bupivacaine	50.11		3407988
CASP9	842	Muscular Atrophy	MESH:D009133		Chloroquine	50.11		12739036|4776885
CASP9	842	Muscular Atrophy	MESH:D009133		Ciprofloxacin	50.11		19401694
CASP9	842	Muscular Atrophy	MESH:D009133		Cisplatin	50.11		24823295
CASP9	842	Muscular Atrophy	MESH:D009133		Clofibrate	50.11		6511338
CASP9	842	Muscular Atrophy	MESH:D009133		Cocaine	50.11		15204026
CASP9	842	Muscular Atrophy	MESH:D009133		Colchicine	50.11		8234983
CASP9	842	Muscular Atrophy	MESH:D009133		Deferoxamine	50.11		1528723
CASP9	842	Muscular Atrophy	MESH:D009133		Dexamethasone	50.11		12135589|12721153|1351811|14518677|14618091|16318624|16967495|17053101|17153611|18436443|18467435|19032942|1947450|19967395|20169591|21094144|24124592|2424746|24550007|4441321
CASP9	842	Muscular Atrophy	MESH:D009133		Dietary Fats	50.11		25614714
CASP9	842	Muscular Atrophy	MESH:D009133		irinotecan	50.11		19401694
CASP9	842	Muscular Atrophy	MESH:D009133		Melphalan	50.11		7802575
CASP9	842	Muscular Atrophy	MESH:D009133		Mifepristone	50.11		12721153|2424746
CASP9	842	Muscular Atrophy	MESH:D009133		Nicotine	50.11		18694773
CASP9	842	Muscular Atrophy	MESH:D009133		Quercetin	50.11		25614714
CASP9	842	Muscular Atrophy	MESH:D009133		resveratrol	50.11		20861279|21715682|24534773
CASP9	842	Muscular Atrophy	MESH:D009133		Taurine	50.11		16318624
CASP9	842	Muscular Atrophy	MESH:D009133		Testosterone	50.11		18436443|21094144|21931329
CASP9	842	Muscular Atrophy	MESH:D009133		Triamcinolone	50.11		3912638|7349575|8665051|8937196
CASP9	842	Muscular Atrophy	MESH:D009133		Vitamin E	50.11		572510
CASQ1	844	Muscular Atrophy	MESH:D009133		Chromium	4.11		19071005
CASQ2	845	Muscular Atrophy	MESH:D009133		Dietary Fats	2.82		25614714
CASR	846	Muscular Atrophy	MESH:D009133		Dietary Fats	5.81		25614714
CASR	846	Muscular Atrophy	MESH:D009133		Testosterone	5.81		18436443|21094144|21931329
CASS4	57091	Muscular Atrophy	MESH:D009133		Cisplatin	3.05		24823295
CAST	831	Muscular Atrophy	MESH:D009133		Cisplatin	2.22		24823295
CASTOR1	652968	Muscular Atrophy	MESH:D009133		Cisplatin	12.78		24823295
CASTOR1	652968	Muscular Atrophy	MESH:D009133		Cocaine	12.78		15204026
CASTOR1	652968	Muscular Atrophy	MESH:D009133		Testosterone	12.78		18436443|21094144|21931329
CASZ1	54897	Muscular Atrophy	MESH:D009133		Dietary Fats	2.64		25614714
CAT	847	Muscular Atrophy	MESH:D009133		Air Pollutants, Occupational	59.99		10963110
CAT	847	Muscular Atrophy	MESH:D009133		Amiodarone	59.99		90132
CAT	847	Muscular Atrophy	MESH:D009133		Chloroquine	59.99		12739036|4776885
CAT	847	Muscular Atrophy	MESH:D009133		Chromium	59.99		19071005
CAT	847	Muscular Atrophy	MESH:D009133		Cisplatin	59.99		24823295
CAT	847	Muscular Atrophy	MESH:D009133		Clofibrate	59.99		6511338
CAT	847	Muscular Atrophy	MESH:D009133		Cocaine	59.99		15204026
CAT	847	Muscular Atrophy	MESH:D009133		Colchicine	59.99		8234983
CAT	847	Muscular Atrophy	MESH:D009133		Dapsone	59.99		6322702
CAT	847	Muscular Atrophy	MESH:D009133		Deferoxamine	59.99		1528723
CAT	847	Muscular Atrophy	MESH:D009133		Dexamethasone	59.99		12135589|12721153|1351811|14518677|14618091|16318624|16967495|17053101|17153611|18436443|18467435|19032942|1947450|19967395|20169591|21094144|24124592|2424746|24550007|4441321
CAT	847	Muscular Atrophy	MESH:D009133		Dietary Fats	59.99		25614714
CAT	847	Muscular Atrophy	MESH:D009133		Melphalan	59.99		7802575
CAT	847	Muscular Atrophy	MESH:D009133		Methylprednisolone	59.99		10641615|21931329|3420309|8665051
CAT	847	Muscular Atrophy	MESH:D009133		Mifepristone	59.99		12721153|2424746
CAT	847	Muscular Atrophy	MESH:D009133		Nicotine	59.99		18694773
CAT	847	Muscular Atrophy	MESH:D009133		Quercetin	59.99		25614714
CAT	847	Muscular Atrophy	MESH:D009133		resveratrol	59.99		20861279|21715682|24534773
CAT	847	Muscular Atrophy	MESH:D009133		Taurine	59.99		16318624
CAT	847	Muscular Atrophy	MESH:D009133		Testosterone	59.99		18436443|21094144|21931329
CAT	847	Muscular Atrophy	MESH:D009133		Tetracycline	59.99		6213862
CAT	847	Muscular Atrophy	MESH:D009133		Vincristine	59.99		4290103|4294312|4314181|5813374
CAT	847	Muscular Atrophy	MESH:D009133		Vitamin B 12	59.99		2044594
CAT	847	Muscular Atrophy	MESH:D009133		Vitamin E	59.99		572510
CAT	847	Muscular Atrophy	MESH:D009133		Zidovudine	59.99		1892364|8438050
CATIP	375307	Muscular Atrophy	MESH:D009133		Cisplatin	3.43		24823295
CATSPER2	117155	Muscular Atrophy	MESH:D009133		Cocaine	3.39		15204026
CATSPER3	347732	Muscular Atrophy	MESH:D009133		Dietary Fats	9.91		25614714
CATSPER3	347732	Muscular Atrophy	MESH:D009133		Quercetin	9.91		25614714
CATSPERD	257062	Muscular Atrophy	MESH:D009133		Dietary Fats	2.94		25614714
CAV1	857	Muscular Atrophy	MESH:D009133		Chromium	43.19		19071005
CAV1	857	Muscular Atrophy	MESH:D009133		Ciprofloxacin	43.19		19401694
CAV1	857	Muscular Atrophy	MESH:D009133		Cisplatin	43.19		24823295
CAV1	857	Muscular Atrophy	MESH:D009133		Clofibrate	43.19		6511338
CAV1	857	Muscular Atrophy	MESH:D009133		Deferoxamine	43.19		1528723
CAV1	857	Muscular Atrophy	MESH:D009133		Dexamethasone	43.19		12135589|12721153|1351811|14518677|14618091|16318624|16967495|17053101|17153611|18436443|18467435|19032942|1947450|19967395|20169591|21094144|24124592|2424746|24550007|4441321
CAV1	857	Muscular Atrophy	MESH:D009133		Dietary Fats	43.19		25614714
CAV1	857	Muscular Atrophy	MESH:D009133		Hydrocortisone	43.19		4441321|8491306
CAV1	857	Muscular Atrophy	MESH:D009133		Mifepristone	43.19		12721153|2424746
CAV1	857	Muscular Atrophy	MESH:D009133		Quercetin	43.19		25614714
CAV1	857	Muscular Atrophy	MESH:D009133		resveratrol	43.19		20861279|21715682|24534773
CAV1	857	Muscular Atrophy	MESH:D009133		Testosterone	43.19		18436443|21094144|21931329
CAV1	857	Muscular Atrophy	MESH:D009133		Vitamin E	43.19		572510
CAV2	858	Muscular Atrophy	MESH:D009133		Dexamethasone	12.90		12135589|12721153|1351811|14518677|14618091|16318624|16967495|17053101|17153611|18436443|18467435|19032942|1947450|19967395|20169591|21094144|24124592|2424746|24550007|4441321
CAV2	858	Muscular Atrophy	MESH:D009133		Dietary Fats	12.90		25614714
CAV2	858	Muscular Atrophy	MESH:D009133		Quercetin	12.90		25614714
CAV2	858	Muscular Atrophy	MESH:D009133		Testosterone	12.90		18436443|21094144|21931329
CAV3	859	Muscular Atrophy	MESH:D009133		Amiodarone	15.16		90132
CAV3	859	Muscular Atrophy	MESH:D009133		Chromium	15.16		19071005
CAV3	859	Muscular Atrophy	MESH:D009133		Clofibrate	15.16		6511338
CAV3	859	Muscular Atrophy	MESH:D009133		resveratrol	15.16		20861279|21715682|24534773
CAVIN1	284119	Muscular Atrophy	MESH:D009133		Cisplatin	23.05		24823295
CAVIN1	284119	Muscular Atrophy	MESH:D009133		Dexamethasone	23.05		12135589|12721153|1351811|14518677|14618091|16318624|16967495|17053101|17153611|18436443|18467435|19032942|1947450|19967395|20169591|21094144|24124592|2424746|24550007|4441321
CAVIN1	284119	Muscular Atrophy	MESH:D009133		Dietary Fats	23.05		25614714
CAVIN1	284119	Muscular Atrophy	MESH:D009133		Quercetin	23.05		25614714
CAVIN1	284119	Muscular Atrophy	MESH:D009133		Testosterone	23.05		18436443|21094144|21931329
CAVIN1	284119	Muscular Atrophy	MESH:D009133		Vitamin E	23.05		572510
CAVIN2	8436	Muscular Atrophy	MESH:D009133		Air Pollutants, Occupational	22.46		10963110
CAVIN2	8436	Muscular Atrophy	MESH:D009133		Cisplatin	22.46		24823295
CAVIN2	8436	Muscular Atrophy	MESH:D009133		Dexamethasone	22.46		12135589|12721153|1351811|14518677|14618091|16318624|16967495|17053101|17153611|18436443|18467435|19032942|1947450|19967395|20169591|21094144|24124592|2424746|24550007|4441321
CAVIN2	8436	Muscular Atrophy	MESH:D009133		Dietary Fats	22.46		25614714
CAVIN2	8436	Muscular Atrophy	MESH:D009133		Quercetin	22.46		25614714
CAVIN2	8436	Muscular Atrophy	MESH:D009133		resveratrol	22.46		20861279|21715682|24534773
CAVIN3	112464	Muscular Atrophy	MESH:D009133		Dietary Fats	5.80		25614714
CAVIN3	112464	Muscular Atrophy	MESH:D009133		Vitamin E	5.80		572510
CAVIN4B	494036	Muscular Atrophy	MESH:D009133		Amiodarone	8.83		90132
CAVIN4B	494036	Muscular Atrophy	MESH:D009133		Tetracycline	8.83		6213862
CAX2	558687	Muscular Atrophy	MESH:D009133		Amiodarone	9.58		90132
CAX2	558687	Muscular Atrophy	MESH:D009133		Tetracycline	9.58		6213862
CBARP	255057	Muscular Atrophy	MESH:D009133		Cisplatin	2.80		24823295
CBFA2T2	9139	Muscular Atrophy	MESH:D009133		Tetracycline	3.68		6213862
CBFA2T3	863	Muscular Atrophy	MESH:D009133		Clofibrate	3.02		6511338
CBFB	865	Muscular Atrophy	MESH:D009133		Dietary Fats	6.18		25614714
CBFB	865	Muscular Atrophy	MESH:D009133		resveratrol	6.18		20861279|21715682|24534773
CBL	867	Muscular Atrophy	MESH:D009133		Nicotine	5.95		18694773
CBL	867	Muscular Atrophy	MESH:D009133		resveratrol	5.95		20861279|21715682|24534773
CBLB	868	Muscular Atrophy	MESH:D009133		Dexamethasone	5.95		12135589|12721153|1351811|14518677|14618091|16318624|16967495|17053101|17153611|18436443|18467435|19032942|1947450|19967395|20169591|21094144|24124592|2424746|24550007|4441321
CBLB	868	Muscular Atrophy	MESH:D009133		Vitamin E	5.95		572510
CBLC	23624	Muscular Atrophy	MESH:D009133		irinotecan	3.55		19401694
CBLL1	79872	Muscular Atrophy	MESH:D009133		Dexamethasone	16.19		12135589|12721153|1351811|14518677|14618091|16318624|16967495|17053101|17153611|18436443|18467435|19032942|1947450|19967395|20169591|21094144|24124592|2424746|24550007|4441321
CBLL1	79872	Muscular Atrophy	MESH:D009133		Dietary Fats	16.19		25614714
CBLL1	79872	Muscular Atrophy	MESH:D009133		Prednisolone	16.19		10910842|2425813|4502228|7363988|8226480
CBLL1	79872	Muscular Atrophy	MESH:D009133		Testosterone	16.19		18436443|21094144|21931329
CBLN1	869	Muscular Atrophy	MESH:D009133		Cocaine	7.44		15204026
CBLN1	869	Muscular Atrophy	MESH:D009133		Nicotine	7.44		18694773
CBLN2	147381	Muscular Atrophy	MESH:D009133		Testosterone	3.15		18436443|21094144|21931329
CBLNL	100135893	Muscular Atrophy	MESH:D009133		Chromium	5.25		19071005
CBR1	873	Muscular Atrophy	MESH:D009133		Amiodarone	22.38		90132
CBR1	873	Muscular Atrophy	MESH:D009133		Cisplatin	22.38		24823295
CBR1	873	Muscular Atrophy	MESH:D009133		Clofibrate	22.38		6511338
CBR1	873	Muscular Atrophy	MESH:D009133		Dexamethasone	22.38		12135589|12721153|1351811|14518677|14618091|16318624|16967495|17053101|17153611|18436443|18467435|19032942|1947450|19967395|20169591|21094144|24124592|2424746|24550007|4441321
CBR1	873	Muscular Atrophy	MESH:D009133		Quercetin	22.38		25614714
CBR1	873	Muscular Atrophy	MESH:D009133		resveratrol	22.38		20861279|21715682|24534773
CBR1	873	Muscular Atrophy	MESH:D009133		Testosterone	22.38		18436443|21094144|21931329
CBR2	12409	Muscular Atrophy	MESH:D009133		resveratrol	2.99		20861279|21715682|24534773
CBR3	874	Muscular Atrophy	MESH:D009133		Cisplatin	8.55		24823295
CBR3	874	Muscular Atrophy	MESH:D009133		Dietary Fats	8.55		25614714
CBR3	874	Muscular Atrophy	MESH:D009133		resveratrol	8.55		20861279|21715682|24534773
CBR4	84869	Muscular Atrophy	MESH:D009133		Cisplatin	6.70		24823295
CBR4	84869	Muscular Atrophy	MESH:D009133		Quercetin	6.70		25614714
CBS	875	Muscular Atrophy	MESH:D009133		Cisplatin	8.22		24823295
CBS	875	Muscular Atrophy	MESH:D009133		Quercetin	8.22		25614714
CBS	875	Muscular Atrophy	MESH:D009133		Tetracycline	8.22		6213862
CBWD5	220869	Muscular Atrophy	MESH:D009133		Cisplatin	3.43		24823295
CBX1	10951	Muscular Atrophy	MESH:D009133		resveratrol	2.77		20861279|21715682|24534773
CBX2	84733	Muscular Atrophy	MESH:D009133		Quercetin	6.82		25614714
CBX2	84733	Muscular Atrophy	MESH:D009133		Testosterone	6.82		18436443|21094144|21931329
CBX3	11335	Muscular Atrophy	MESH:D009133		Clofibrate	10.29		6511338
CBX3	11335	Muscular Atrophy	MESH:D009133		Nicotine	10.29		18694773
CBX3	11335	Muscular Atrophy	MESH:D009133		Vincristine	10.29		4290103|4294312|4314181|5813374
CBX4	8535	Muscular Atrophy	MESH:D009133		Dietary Fats	2.59		25614714
CBX5	23468	Muscular Atrophy	MESH:D009133		Cisplatin	26.97		24823295
CBX5	23468	Muscular Atrophy	MESH:D009133		Dietary Fats	26.97		25614714
CBX5	23468	Muscular Atrophy	MESH:D009133		Nicotine	26.97		18694773
CBX5	23468	Muscular Atrophy	MESH:D009133		Quercetin	26.97		25614714
CBX5	23468	Muscular Atrophy	MESH:D009133		resveratrol	26.97		20861279|21715682|24534773
CBX5	23468	Muscular Atrophy	MESH:D009133		Vincristine	26.97		4290103|4294312|4314181|5813374
CBX5	23468	Muscular Atrophy	MESH:D009133		Vitamin E	26.97		572510
CBX6	23466	Muscular Atrophy	MESH:D009133		Cisplatin	11.52		24823295
CBX6	23466	Muscular Atrophy	MESH:D009133		Quercetin	11.52		25614714
CBX6	23466	Muscular Atrophy	MESH:D009133		Vitamin E	11.52		572510
CBX7	23492	Muscular Atrophy	MESH:D009133		Cisplatin	6.34		24823295
CBX7	23492	Muscular Atrophy	MESH:D009133		Vitamin E	6.34		572510
CBY1	25776	Muscular Atrophy	MESH:D009133		Vitamin E	3.37		572510
CC2D1A	54862	Muscular Atrophy	MESH:D009133		Cisplatin	2.99		24823295
CC2D1B	200014	Muscular Atrophy	MESH:D009133		Quercetin	2.92		25614714
CC2D2A	57545	Muscular Atrophy	MESH:D009133		Cisplatin	6.96		24823295
CC2D2A	57545	Muscular Atrophy	MESH:D009133		Melphalan	6.96		7802575
CCAR1	55749	Muscular Atrophy	MESH:D009133		Cisplatin	15.10		24823295
CCAR1	55749	Muscular Atrophy	MESH:D009133		Dexamethasone	15.10		12135589|12721153|1351811|14518677|14618091|16318624|16967495|17053101|17153611|18436443|18467435|19032942|1947450|19967395|20169591|21094144|24124592|2424746|24550007|4441321
CCAR1	55749	Muscular Atrophy	MESH:D009133		Dietary Fats	15.10		25614714
CCAR1	55749	Muscular Atrophy	MESH:D009133		Vincristine	15.10		4290103|4294312|4314181|5813374
CCAR2	57805	Muscular Atrophy	MESH:D009133		resveratrol	3.48		20861279|21715682|24534773
CCBE1	147372	Muscular Atrophy	MESH:D009133		Cisplatin	6.39		24823295
CCBE1	147372	Muscular Atrophy	MESH:D009133		Dietary Fats	6.39		25614714
CCDC102A	92922	Muscular Atrophy	MESH:D009133		Cisplatin	2.89		24823295
CCDC103	388389	Muscular Atrophy	MESH:D009133		Cisplatin	2.84		24823295
CCDC106	29903	Muscular Atrophy	MESH:D009133		Cisplatin	2.84		24823295
CCDC107	203260	Muscular Atrophy	MESH:D009133		Cisplatin	12.75		24823295
CCDC107	203260	Muscular Atrophy	MESH:D009133		Clofibrate	12.75		6511338
CCDC107	203260	Muscular Atrophy	MESH:D009133		Dexamethasone	12.75		12135589|12721153|1351811|14518677|14618091|16318624|16967495|17053101|17153611|18436443|18467435|19032942|1947450|19967395|20169591|21094144|24124592|2424746|24550007|4441321
CCDC110	256309	Muscular Atrophy	MESH:D009133		Melphalan	4.37		7802575
CCDC112	153733	Muscular Atrophy	MESH:D009133		Cisplatin	2.84		24823295
CCDC113	29070	Muscular Atrophy	MESH:D009133		resveratrol	2.88		20861279|21715682|24534773
CCDC115	84317	Muscular Atrophy	MESH:D009133		Cisplatin	2.80		24823295
CCDC117	150275	Muscular Atrophy	MESH:D009133		Cisplatin	6.75		24823295
CCDC117	150275	Muscular Atrophy	MESH:D009133		resveratrol	6.75		20861279|21715682|24534773
CCDC12	151903	Muscular Atrophy	MESH:D009133		Cisplatin	12.90		24823295
CCDC12	151903	Muscular Atrophy	MESH:D009133		resveratrol	12.90		20861279|21715682|24534773
CCDC12	151903	Muscular Atrophy	MESH:D009133		Vincristine	12.90		4290103|4294312|4314181|5813374
CCDC120	90060	Muscular Atrophy	MESH:D009133		Dietary Fats	2.90		25614714
CCDC121	79635	Muscular Atrophy	MESH:D009133		Cisplatin	2.78		24823295
CCDC122	160857	Muscular Atrophy	MESH:D009133		Dietary Fats	3.19		25614714
CCDC126	90693	Muscular Atrophy	MESH:D009133		Quercetin	2.88		25614714
CCDC127	133957	Muscular Atrophy	MESH:D009133		Cocaine	7.61		15204026
CCDC127	133957	Muscular Atrophy	MESH:D009133		Dietary Fats	7.61		25614714
CCDC129	223075	Muscular Atrophy	MESH:D009133		Testosterone	3.49		18436443|21094144|21931329
CCDC130	81576	Muscular Atrophy	MESH:D009133		Quercetin	3.09		25614714
CCDC134	79879	Muscular Atrophy	MESH:D009133		Amiodarone	7.91		90132
CCDC134	79879	Muscular Atrophy	MESH:D009133		Cisplatin	7.91		24823295
CCDC136	64753	Muscular Atrophy	MESH:D009133		Cisplatin	7.02		24823295
CCDC136	64753	Muscular Atrophy	MESH:D009133		Nicotine	7.02		18694773
CCDC137	339230	Muscular Atrophy	MESH:D009133		Cisplatin	7.57		24823295
CCDC137	339230	Muscular Atrophy	MESH:D009133		resveratrol	7.57		20861279|21715682|24534773
CCDC138	165055	Muscular Atrophy	MESH:D009133		Cisplatin	17.43		24823295
CCDC138	165055	Muscular Atrophy	MESH:D009133		Dietary Fats	17.43		25614714
CCDC138	165055	Muscular Atrophy	MESH:D009133		Quercetin	17.43		25614714
CCDC138	165055	Muscular Atrophy	MESH:D009133		Testosterone	17.43		18436443|21094144|21931329
CCDC14	64770	Muscular Atrophy	MESH:D009133		resveratrol	7.47		20861279|21715682|24534773
CCDC14	64770	Muscular Atrophy	MESH:D009133		Testosterone	7.47		18436443|21094144|21931329
CCDC144B	284047	Muscular Atrophy	MESH:D009133		Cisplatin	3.36		24823295
CCDC146	57639	Muscular Atrophy	MESH:D009133		Cisplatin	2.93		24823295
CCDC148	130940	Muscular Atrophy	MESH:D009133		Cisplatin	2.82		24823295
CCDC149	91050	Muscular Atrophy	MESH:D009133		Cisplatin	2.96		24823295
CCDC15	80071	Muscular Atrophy	MESH:D009133		Dietary Fats	12.88		25614714
CCDC15	80071	Muscular Atrophy	MESH:D009133		Quercetin	12.88		25614714
CCDC15	80071	Muscular Atrophy	MESH:D009133		Testosterone	12.88		18436443|21094144|21931329
CCDC150	284992	Muscular Atrophy	MESH:D009133		Dietary Fats	3.10		25614714
CCDC151	115948	Muscular Atrophy	MESH:D009133		Cisplatin	7.26		24823295
CCDC151	115948	Muscular Atrophy	MESH:D009133		Dietary Fats	7.26		25614714
CCDC154	645811	Muscular Atrophy	MESH:D009133		Cisplatin	3.43		24823295
CCDC155	147872	Muscular Atrophy	MESH:D009133		Dietary Fats	3.57		25614714
CCDC157	550631	Muscular Atrophy	MESH:D009133		Cisplatin	3.08		24823295
CCDC159	126075	Muscular Atrophy	MESH:D009133		Cisplatin	10.05		24823295
CCDC159	126075	Muscular Atrophy	MESH:D009133		Nicotine	10.05		18694773
CCDC162	75973	Muscular Atrophy	MESH:D009133		Dietary Fats	3.39		25614714
CCDC162P	221262	Muscular Atrophy	MESH:D009133		Cisplatin	3.85		24823295
CCDC163	126661	Muscular Atrophy	MESH:D009133		Cisplatin	8.02		24823295
CCDC163	126661	Muscular Atrophy	MESH:D009133		Dietary Fats	8.02		25614714
CCDC167	154467	Muscular Atrophy	MESH:D009133		Cisplatin	12.93		24823295
CCDC167	154467	Muscular Atrophy	MESH:D009133		Nicotine	12.93		18694773
CCDC167	154467	Muscular Atrophy	MESH:D009133		Testosterone	12.93		18436443|21094144|21931329
CCDC169	728591	Muscular Atrophy	MESH:D009133		Dietary Fats	3.39		25614714
CCDC17	149483	Muscular Atrophy	MESH:D009133		Amiodarone	8.01		90132
CCDC17	149483	Muscular Atrophy	MESH:D009133		Quercetin	8.01		25614714
CCDC170	80129	Muscular Atrophy	MESH:D009133		Dietary Fats	3.13		25614714
CCDC171	203238	Muscular Atrophy	MESH:D009133		2,5-hexanedione	12.83		225920
CCDC171	203238	Muscular Atrophy	MESH:D009133		Cisplatin	12.83		24823295
CCDC171	203238	Muscular Atrophy	MESH:D009133		Melphalan	12.83		7802575
CCDC174	51244	Muscular Atrophy	MESH:D009133		Cocaine	3.42		15204026
CCDC178	374864	Muscular Atrophy	MESH:D009133		Cisplatin	3.25		24823295
CCDC18	343099	Muscular Atrophy	MESH:D009133		Cisplatin	6.73		24823295
CCDC18	343099	Muscular Atrophy	MESH:D009133		Testosterone	6.73		18436443|21094144|21931329
CCDC181	57821	Muscular Atrophy	MESH:D009133		Cisplatin	2.99		24823295
CCDC186	55088	Muscular Atrophy	MESH:D009133		Vincristine	3.47		4290103|4294312|4314181|5813374
CCDC189	90835	Muscular Atrophy	MESH:D009133		Cisplatin	3.20		24823295
CCDC18-AS1	100131564	Muscular Atrophy	MESH:D009133		Cisplatin	3.50		24823295
CCDC191	57577	Muscular Atrophy	MESH:D009133		2,5-hexanedione	5.10		225920
CCDC197	256369	Muscular Atrophy	MESH:D009133		Amiodarone	4.42		90132
CCDC198	55195	Muscular Atrophy	MESH:D009133		Vincristine	3.79		4290103|4294312|4314181|5813374
CCDC24	149473	Muscular Atrophy	MESH:D009133		Cisplatin	8.46		24823295
CCDC24	149473	Muscular Atrophy	MESH:D009133		Testosterone	8.46		18436443|21094144|21931329
CCDC25	55246	Muscular Atrophy	MESH:D009133		Testosterone	3.08		18436443|21094144|21931329
CCDC28B	79140	Muscular Atrophy	MESH:D009133		Cisplatin	11.89		24823295
CCDC28B	79140	Muscular Atrophy	MESH:D009133		Clofibrate	11.89		6511338
CCDC28B	79140	Muscular Atrophy	MESH:D009133		Dietary Fats	11.89		25614714
CCDC3	83643	Muscular Atrophy	MESH:D009133		Cisplatin	6.98		24823295
CCDC3	83643	Muscular Atrophy	MESH:D009133		Dietary Fats	6.98		25614714
CCDC32	90416	Muscular Atrophy	MESH:D009133		Amiodarone	13.06		90132
CCDC32	90416	Muscular Atrophy	MESH:D009133		Tetracycline	13.06		6213862
CCDC32	90416	Muscular Atrophy	MESH:D009133		Vincristine	13.06		4290103|4294312|4314181|5813374
CCDC34	91057	Muscular Atrophy	MESH:D009133		Cisplatin	10.74		24823295
CCDC34	91057	Muscular Atrophy	MESH:D009133		Dietary Fats	10.74		25614714
CCDC34	91057	Muscular Atrophy	MESH:D009133		Testosterone	10.74		18436443|21094144|21931329
CCDC39	339829	Muscular Atrophy	MESH:D009133		Dietary Fats	3.05		25614714
CCDC40	55036	Muscular Atrophy	MESH:D009133		Cisplatin	3.12		24823295
CCDC43	124808	Muscular Atrophy	MESH:D009133		Cisplatin	2.89		24823295
CCDC47	57003	Muscular Atrophy	MESH:D009133		Clofibrate	3.16		6511338
CCDC50	152137	Muscular Atrophy	MESH:D009133		Cisplatin	11.05		24823295
CCDC50	152137	Muscular Atrophy	MESH:D009133		Dietary Fats	11.05		25614714
CCDC50	152137	Muscular Atrophy	MESH:D009133		Testosterone	11.05		18436443|21094144|21931329
CCDC51	79714	Muscular Atrophy	MESH:D009133		Cisplatin	7.23		24823295
CCDC51	79714	Muscular Atrophy	MESH:D009133		Colchicine	7.23		8234983
CCDC56	39320	Muscular Atrophy	MESH:D009133		Air Pollutants, Occupational	9.42		10963110
CCDC56	39320	Muscular Atrophy	MESH:D009133		Cisplatin	9.42		24823295
CCDC57	284001	Muscular Atrophy	MESH:D009133		Cisplatin	3.02		24823295
CCDC58	131076	Muscular Atrophy	MESH:D009133		Cisplatin	2.52		24823295
CCDC62	84660	Muscular Atrophy	MESH:D009133		Cisplatin	8.80		24823295
CCDC62	84660	Muscular Atrophy	MESH:D009133		Quercetin	8.80		25614714
CCDC63	160762	Muscular Atrophy	MESH:D009133		Cisplatin	3.30		24823295
CCDC65	85478	Muscular Atrophy	MESH:D009133		Cisplatin	2.89		24823295
CCDC66	285331	Muscular Atrophy	MESH:D009133		Dietary Fats	3.00		25614714
CCDC68	80323	Muscular Atrophy	MESH:D009133		Cisplatin	6.37		24823295
CCDC68	80323	Muscular Atrophy	MESH:D009133		Quercetin	6.37		25614714
CCDC69	26112	Muscular Atrophy	MESH:D009133		Cisplatin	16.66		24823295
CCDC69	26112	Muscular Atrophy	MESH:D009133		Dexamethasone	16.66		12135589|12721153|1351811|14518677|14618091|16318624|16967495|17053101|17153611|18436443|18467435|19032942|1947450|19967395|20169591|21094144|24124592|2424746|24550007|4441321
CCDC69	26112	Muscular Atrophy	MESH:D009133		Dietary Fats	16.66		25614714
CCDC69	26112	Muscular Atrophy	MESH:D009133		Quercetin	16.66		25614714
CCDC71	64925	Muscular Atrophy	MESH:D009133		Clofibrate	3.42		6511338
CCDC73	493860	Muscular Atrophy	MESH:D009133		Cocaine	4.20		15204026
CCDC80	151887	Muscular Atrophy	MESH:D009133		Cisplatin	9.66		24823295
CCDC80	151887	Muscular Atrophy	MESH:D009133		Dietary Fats	9.66		25614714
CCDC80	151887	Muscular Atrophy	MESH:D009133		Mifepristone	9.66		12721153|2424746
CCDC81	60494	Muscular Atrophy	MESH:D009133		Quercetin	3.29		25614714
CCDC82	79780	Muscular Atrophy	MESH:D009133		Vincristine	3.35		4290103|4294312|4314181|5813374
CCDC84	338657	Muscular Atrophy	MESH:D009133		Cisplatin	2.80		24823295
CCDC85A	114800	Muscular Atrophy	MESH:D009133		Dexamethasone	6.97		12135589|12721153|1351811|14518677|14618091|16318624|16967495|17053101|17153611|18436443|18467435|19032942|1947450|19967395|20169591|21094144|24124592|2424746|24550007|4441321
CCDC85A	114800	Muscular Atrophy	MESH:D009133		Testosterone	6.97		18436443|21094144|21931329
CCDC85B	11007	Muscular Atrophy	MESH:D009133		Cisplatin	6.62		24823295
